Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Hour
6,0,1,4,0,2,0,2,1,6,2,5,1,0,3,0,0,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,12,8
0,1,1,4,0,2,0,1,3,3,2,5,5,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,1,19
3,0,1,4,0,2,0,2,1,6,2,3,5,0,0,0,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,1,2,5,0,2
5,0,1,5,0,2,5,2,1,11,4,6,5,0,0,3,2,6,-0.059060765005841856,1.4415615547278733,2,0,0,1,2,5,10,16
4,3,1,4,0,1,9,2,1,6,0,5,5,3,3,0,3,6,-0.059060765005841856,3.427386968074832,2,0,1,0,2,5,3,20
5,2,1,1,0,0,0,2,1,6,0,5,0,0,0,3,2,1,2.8447012382354724,0.44864884805439376,7,0,1,1,2,5,3,13
1,0,1,1,0,2,13,2,3,6,2,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,3,0,1,0,2,5,3,10
2,2,1,4,0,3,5,2,1,6,5,5,1,0,3,3,3,6,-0.059060765005841856,-0.5442638586190858,2,2,0,0,2,0,12,13
0,1,1,1,0,3,14,2,2,6,2,8,0,0,0,0,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,15,21
3,0,1,4,1,0,7,2,2,6,2,5,0,0,3,3,3,6,-0.059060765005841856,1.4415615547278733,1,0,0,3,2,5,12,13
5,1,1,4,0,3,9,0,1,6,2,0,0,3,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,10,14
0,0,1,1,0,1,0,2,1,6,5,5,5,3,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,10,9
6,0,1,4,0,3,0,2,1,6,2,5,5,0,3,0,3,6,-1.510941766626499,-0.5442638586190858,2,0,1,0,2,5,11,17
4,0,0,2,1,2,0,2,2,11,5,5,5,0,3,0,2,6,2.8447012382354724,1.4415615547278733,2,2,1,4,2,1,7,18
0,1,1,1,0,0,0,2,1,6,4,5,5,0,0,3,2,5,-1.510941766626499,-0.5442638586190858,2,0,0,1,2,5,1,10
3,0,1,4,0,3,0,2,2,2,5,5,1,0,0,3,2,6,1.3928202366148152,-0.5442638586190858,2,0,1,0,2,5,0,9
2,0,1,1,0,0,6,2,3,8,2,5,1,0,0,3,2,6,-1.510941766626499,-0.5442638586190858,2,2,0,1,2,1,9,16
6,1,1,4,0,3,0,1,2,3,4,7,5,0,3,0,3,6,-1.510941766626499,-0.5442638586190858,2,0,1,0,2,5,10,16
3,0,1,0,0,3,0,2,2,6,2,5,0,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,3,1,5,11,15
0,1,1,4,1,2,7,2,1,11,2,5,0,0,3,0,3,2,-1.510941766626499,-0.5442638586190858,8,2,0,4,1,1,16,19
5,1,1,4,0,3,5,2,1,6,1,5,5,0,0,0,2,6,1.3928202366148152,-0.5442638586190858,2,1,0,1,2,5,10,17
5,0,1,1,1,2,5,0,1,8,2,5,0,0,0,0,2,6,-1.510941766626499,-0.5442638586190858,2,2,0,0,2,1,1,0
4,1,1,1,0,0,4,2,1,6,1,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,2,0,4,2,1,1,19
2,2,1,2,0,0,5,2,3,8,2,5,0,0,3,0,3,1,-0.059060765005841856,0.44864884805439376,2,2,1,0,2,2,9,17
5,0,1,4,0,0,0,2,1,6,4,5,5,0,0,3,2,6,-1.510941766626499,-0.5442638586190858,3,2,1,4,2,5,10,9
0,0,1,1,0,0,6,2,1,6,2,5,0,0,0,0,2,6,-0.059060765005841856,-0.5442638586190858,8,0,1,0,2,5,15,23
6,0,1,4,0,0,8,2,1,6,4,5,5,0,0,3,2,2,-0.059060765005841856,-0.5442638586190858,2,2,0,1,2,5,12,18
0,0,1,2,0,2,5,2,0,1,2,5,5,0,0,3,2,6,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,11,6
1,0,1,4,0,4,5,2,2,4,2,6,5,0,0,3,2,2,-0.059060765005841856,0.44864884805439376,2,0,1,4,2,5,15,8
0,0,1,4,0,2,0,2,1,8,5,3,5,0,0,3,2,5,-0.059060765005841856,0.44864884805439376,2,0,1,1,2,5,11,10
3,2,1,4,0,1,5,2,1,6,5,5,1,0,3,3,2,2,-0.059060765005841856,1.4415615547278733,2,0,1,0,2,5,10,13
6,2,1,4,1,2,0,2,1,1,4,5,1,0,0,3,2,6,-0.059060765005841856,0.44864884805439376,2,0,1,0,2,5,10,14
0,1,1,4,0,0,0,2,1,8,2,5,5,0,3,3,2,6,1.3928202366148152,2.434474261401353,2,0,1,0,2,5,0,18
6,0,1,4,0,2,13,2,1,6,2,5,5,0,3,0,2,6,-0.059060765005841856,-0.5442638586190858,2,2,0,0,2,0,6,8
1,3,1,4,0,0,4,2,1,6,2,5,5,0,0,3,6,2,-0.059060765005841856,-0.5442638586190858,2,0,1,0,2,5,16,15
0,1,1,4,0,2,10,2,1,6,5,5,5,0,0,3,2,2,-0.059060765005841856,-0.5442638586190858,2,0,0,1,2,5,10,7
1,0,1,1,1,3,5,2,1,6,2,5,5,0,0,3,2,6,-1.510941766626499,-0.5442638586190858,10,0,1,1,2,5,0,8
4,0,1,5,0,4,4,1,2,3,4,7,5,0,3,0,3,6,-0.059060765005841856,-0.5442638586190858,2,0,1,1,2,5,1,15
